sigma,sign,type,m,src,isValidation,id,graphtype,offset,answer,error,unsignedError,index
0.1,1,line,0.2,data/Exp3/line/area/S0.1m0.2.png,,5,area,-0.11,-0.035,-0.07,0.07,80
0.2,1,quad,0.8,data/Exp3/quad/line/S0.2m0.8.png,,5,line,-0.02,-0.185,0.17,0.17,81
0.1,1,line,0.4,data/Exp3/line/scatter/S0.1m0.4.png,,5,scatter,0.22,0.22,0,0,82
0.2,-1,quad,0.2,data/Exp3/quad/line/S0.2m-0.2.png,,5,line,0,-0.28,0.28,0.28,83
0.15,-1,line,0.1,data/Exp3/line/scatter/S0.15m-0.1.png,,5,scatter,0.09,0.075,0.01,0.01,84
0.1,1,quad,0.8,data/Exp3/quad/scatter/S0.1m0.8.png,,5,scatter,-0.03,-0.05,0.02,0.02,85
0.15,1,quad,0.4,data/Exp3/quad/area/S0.15m0.4.png,,5,area,-0.11,0.01,-0.12,0.12,86
0.05,1,trig,0.2,data/Exp3/trig/area/S0.05m0.2.png,,5,area,-0.04,0.06,-0.1,0.1,87
0.1,-1,trig,0.1,data/Exp3/trig/line/S0.1m-0.1.png,,5,line,0.07,0.085,-0.01,0.01,88
0.2,1,line,0.2,data/Exp3/line/line/S0.2m0.2.png,,5,line,-0.18,-0.375,0.2,0.2,89
0.2,-1,trig,0.4,data/Exp3/trig/line/S0.2m-0.4.png,,5,line,0.19,0.3,-0.11,0.11,90
0.15,1,quad,0.8,data/Exp3/quad/scatter/S0.15m0.8.png,,5,scatter,-0.14,-0.085,-0.06,0.06,91
0.15,1,quad,0.1,data/Exp3/quad/line/S0.15m0.1.png,,5,line,-0.24,-0.5,0.26,0.26,92
0.2,1,line,0.2,data/Exp3/line/area/S0.2m0.2.png,,5,area,-0.12,0.095,-0.21,0.21,93
0.15,-1,quad,0.4,data/Exp3/quad/scatter/S0.15m-0.4.png,,5,scatter,0.18,0.245,-0.07,0.07,94
0.15,1,trig,0.8,data/Exp3/trig/area/S0.15m0.8.png,,5,area,-0.15,-0.23,0.08,0.08,96
0.15,1,quad,0.8,data/Exp3/quad/line/S0.15m0.8.png,,5,line,0.16,-0.085,0.24,0.24,97
0.2,1,trig,0.8,data/Exp3/trig/area/S0.2m0.8.png,,5,area,-0.1,0.3,-0.4,0.4,70
0.15,-1,trig,0.1,data/Exp3/trig/area/S0.15m-0.1.png,,5,area,-0.12,-0.025,-0.1,0.1,98
0.15,-1,quad,0.8,data/Exp3/quad/line/S0.15m-0.8.png,,5,line,0.08,-0.055,0.14,0.14,99
0.15,1,trig,0.2,data/Exp3/trig/area/S0.15m0.2.png,,6,area,0.17,0.13,0.04,0.04,0
0.15,1,trig,0.8,data/Exp3/trig/line/S0.15m0.8.png,,6,line,-0.25,-0.18,-0.07,0.07,1
0.1,1,quad,0.2,data/Exp3/quad/line/S0.1m0.2.png,,6,line,-0.19,-0.16,-0.03,0.03,2
0.1,1,trig,0.8,data/Exp3/trig/line/S0.1m0.8.png,,6,line,0.18,0.18,0,0,3
0.05,1,trig,0.8,data/Exp3/trig/area/S0.05m0.8.png,,6,area,0.11,0.115,-0.01,0.01,4
0.2,1,quad,0.1,data/Exp3/quad/line/S0.2m0.1.png,,6,line,0.14,0.185,-0.04,0.04,5
0.2,-1,trig,0.2,data/Exp3/trig/scatter/S0.2m-0.2.png,,6,scatter,-0.13,-0.105,-0.03,0.03,6
0.1,-1,trig,0.4,data/Exp3/trig/area/S0.1m-0.4.png,,6,area,0.21,0.2,0.01,0.01,7
0.1,-1,quad,0.4,data/Exp3/quad/line/S0.1m-0.4.png,,6,line,0.21,0.215,-0.01,0.01,8
0.05,-1,trig,0.4,data/Exp3/trig/line/S0.05m-0.4.png,,6,line,-0.22,-0.215,-0.01,0.01,9
0.05,-1,quad,0.4,data/Exp3/quad/area/S0.05m-0.4.png,,6,area,-0.01,0,-0.01,0.01,10
0.05,-1,line,0.8,data/Exp3/line/scatter/S0.05m-0.8.png,,6,scatter,-0.11,-0.09,-0.02,0.02,11
0.05,1,line,0.1,data/Exp3/line/scatter/S0.05m0.1.png,,6,scatter,0.23,0.25,-0.02,0.02,12
0.15,1,trig,0.8,data/Exp3/trig/scatter/S0.15m0.8.png,,6,scatter,0.17,0.155,0.02,0.02,13
0.05,-1,line,0.1,data/Exp3/line/line/S0.05m-0.1.png,,6,line,-0.08,-0.065,-0.01,0.01,14
0.2,1,trig,0.1,data/Exp3/trig/area/S0.2m0.1.png,,6,area,0.22,0.22,0,0,15
0.1,-1,line,0.1,data/Exp3/line/scatter/S0.1m-0.1.png,,6,scatter,-0.17,-0.11,-0.06,0.06,16
0.2,-1,quad,0.1,data/Exp3/quad/line/S0.2m-0.1.png,,6,line,-0.08,-0.02,-0.06,0.06,17
0.1,-1,trig,0.8,data/Exp3/trig/line/S0.1m-0.8.png,,6,line,0.13,0.1,0.03,0.03,18
0.15,-1,trig,0.8,data/Exp3/trig/line/S0.15m-0.8.png,,6,line,-0.19,-0.12,-0.07,0.07,19
0.15,1,quad,0.8,data/Exp3/quad/area/S0.15m0.8.png,,6,area,-0.2,-0.165,-0.04,0.04,20
0.05,1,quad,0.2,data/Exp3/quad/scatter/S0.05m0.2.png,,6,scatter,0.19,0.205,-0.01,0.01,22
0.05,1,line,0.8,data/Exp3/line/line/S0.05m0.8.png,,6,line,0.18,0.2,-0.02,0.02,21
0.2,-1,line,0.4,data/Exp3/line/area/S0.2m-0.4.png,,6,area,0.16,0.135,0.02,0.02,24
0.15,-1,line,0.1,data/Exp3/line/scatter/S0.15m-0.1.png,,6,scatter,-0.01,0.02,-0.03,0.03,25
0.05,1,quad,0.1,data/Exp3/quad/line/S0.05m0.1.png,,6,line,-0.08,-0.07,-0.01,0.01,26
0.05,-1,trig,0.1,data/Exp3/trig/scatter/S0.05m-0.1.png,,6,scatter,-0.03,-0.025,0,0,27
0.2,1,line,0.4,data/Exp3/line/line/S0.2m0.4.png,,6,line,-0.13,-0.035,-0.1,0.1,28
0.05,1,line,0.2,data/Exp3/line/line/S0.05m0.2.png,,6,line,-0.07,-0.04,-0.03,0.03,29
0.1,1,trig,0.1,data/Exp3/trig/scatter/S0.1m0.1.png,,6,scatter,0.1,0.11,-0.01,0.01,30
0.1,-1,quad,0.2,data/Exp3/quad/area/S0.1m-0.2.png,,6,area,0.04,0.02,0.02,0.02,32
0.05,1,line,0.2,data/Exp3/line/area/S0.05m0.2.png,,6,area,-0.2,-0.19,-0.01,0.01,33
0.15,1,quad,0.1,data/Exp3/quad/line/S0.15m0.1.png,,6,line,0.11,0.11,0,0,34
0.1,1,line,0.1,data/Exp3/line/area/S0.1m0.1.png,,6,area,-0.01,0.02,-0.03,0.03,35
0.1,1,line,0.2,data/Exp3/line/area/S0.1m0.2.png,,6,area,-0.03,-0.025,0,0,36
0.05,-1,trig,0.2,data/Exp3/trig/scatter/S0.05m-0.2.png,,6,scatter,0.21,0.215,-0.01,0.01,37
0.15,-1,quad,0.1,data/Exp3/quad/line/S0.15m-0.1.png,,6,line,0.21,0.27,-0.06,0.06,38
0.05,-1,trig,0.8,data/Exp3/trig/area/S0.05m-0.8.png,,6,area,-0.25,-0.22,-0.03,0.03,39
0.15,1,quad,0.4,data/Exp3/quad/scatter/S0.15m0.4.png,,6,scatter,0.08,0.1,-0.02,0.02,40
0.2,-1,quad,0.8,data/Exp3/quad/line/S0.2m-0.8.png,,6,line,-0.03,-0.01,-0.02,0.02,41
0.1,1,trig,0.2,data/Exp3/trig/scatter/S0.1m0.2.png,,6,scatter,0.11,0.11,0,0,42
0.2,-1,line,0.1,data/Exp3/line/scatter/S0.2m-0.1.png,,6,scatter,0.17,0.23,-0.06,0.06,43
0.15,-1,trig,0.1,data/Exp3/trig/area/S0.15m-0.1.png,,6,area,0.19,0.195,-0.01,0.01,44
0.1,1,line,0.1,data/Exp3/line/line/S0.1m0.1.png,,6,line,0.16,0.175,-0.01,0.01,45
0.15,-1,quad,0.4,data/Exp3/quad/scatter/S0.15m-0.4.png,,6,scatter,-0.1,-0.05,-0.05,0.05,46
0.1,-1,line,0.8,data/Exp3/line/scatter/S0.1m-0.8.png,,6,scatter,-0.04,-0.015,-0.03,0.03,47
0.15,-1,line,0.2,data/Exp3/line/area/S0.15m-0.2.png,,6,area,0.15,0.165,-0.02,0.02,48
0.05,1,line,0.8,data/Exp3/line/scatter/S0.05m0.8.png,,6,scatter,-0.11,-0.08,-0.03,0.03,49
0.15,1,line,0.4,data/Exp3/line/line/S0.15m0.4.png,,6,line,0.12,0.1,0.02,0.02,50
0.2,1,line,0.8,data/Exp3/line/scatter/S0.2m0.8.png,,6,scatter,0.05,0.025,0.03,0.03,51
0.15,1,quad,0.1,data/Exp3/quad/scatter/S0.15m0.1.png,,6,scatter,0.06,0.105,-0.04,0.04,52
0.05,1,quad,0.4,data/Exp3/quad/line/S0.05m0.4.png,,6,line,0.18,0.16,0.02,0.02,53
0.1,1,line,0.8,data/Exp3/line/scatter/S0.1m0.8.png,,6,scatter,-0.1,-0.055,-0.05,0.05,54
0.05,-1,line,0.8,data/Exp3/line/line/S0.05m-0.8.png,,6,line,-0.17,-0.17,0,0,55
0.15,-1,trig,0.2,data/Exp3/trig/scatter/S0.15m-0.2.png,,6,scatter,-0.06,-0.03,-0.03,0.03,56
0.1,1,line,0.4,data/Exp3/line/area/S0.1m0.4.png,,6,area,-0.02,-0.01,-0.01,0.01,57
0.1,1,trig,0.8,data/Exp3/trig/area/S0.1m0.8.png,,6,area,0.22,0.205,0.02,0.02,58
0.2,-1,trig,0.4,data/Exp3/trig/line/S0.2m-0.4.png,,6,line,-0.14,-0.1,-0.04,0.04,59
0.05,1,trig,0.4,data/Exp3/trig/area/S0.05m0.4.png,,6,area,-0.2,-0.19,-0.01,0.01,60
0.05,1,line,0.1,data/Exp3/line/area/S0.05m0.1.png,,6,area,-0.04,-0.015,-0.03,0.03,61
0.2,1,trig,0.4,data/Exp3/trig/scatter/S0.2m0.4.png,,6,scatter,0.14,0.19,-0.05,0.05,62
0.1,1,quad,0.4,data/Exp3/quad/line/S0.1m0.4.png,,6,line,0.22,0.23,-0.01,0.01,63
0.1,-1,trig,0.4,data/Exp3/trig/scatter/S0.1m-0.4.png,,6,scatter,-0.18,-0.18,0,0,64
0.2,1,quad,0.1,data/Exp3/quad/scatter/S0.2m0.1.png,,6,scatter,0.01,0.06,-0.05,0.05,65
0.05,-1,line,0.2,data/Exp3/line/line/S0.05m-0.2.png,,6,line,0.01,0.025,-0.02,0.02,66
0.2,1,quad,0.2,data/Exp3/quad/line/S0.2m0.2.png,,6,line,0.14,0.185,-0.04,0.04,68
0.2,-1,trig,0.8,data/Exp3/trig/area/S0.2m-0.8.png,,6,area,0.11,0.105,0.01,0.01,69
0.15,1,quad,0.4,data/Exp3/quad/area/S0.15m0.4.png,,6,area,0.17,0.13,0.04,0.04,70
0.1,1,line,0.4,data/Exp3/line/scatter/S0.1m0.4.png,,6,scatter,0.16,0.175,-0.01,0.01,71
0.2,1,quad,0.2,data/Exp3/quad/area/S0.2m0.2.png,,6,area,0.16,0.115,0.04,0.04,72
0.2,1,line,0.8,data/Exp3/line/area/S0.2m0.8.png,,6,area,-0.2,-0.205,0,0,73
0.05,-1,quad,0.1,data/Exp3/quad/area/S0.05m-0.1.png,,6,area,0.09,0.095,-0.01,0.01,74
0.1,-1,quad,0.2,data/Exp3/quad/line/S0.1m-0.2.png,,6,line,0.22,0.22,0,0,75
0.2,1,trig,0.8,data/Exp3/trig/line/S0.2m0.8.png,,6,line,-0.22,-0.215,-0.01,0.01,76
0.2,-1,quad,0.4,data/Exp3/quad/scatter/S0.2m-0.4.png,,6,scatter,0.06,0.11,-0.05,0.05,77
0.2,1,trig,0.2,data/Exp3/trig/scatter/S0.2m0.2.png,,6,scatter,0.14,0.19,-0.05,0.05,78
0.1,-1,line,0.2,data/Exp3/line/scatter/S0.1m-0.2.png,,6,scatter,-0.09,-0.075,-0.01,0.01,79
0.1,-1,trig,0.8,data/Exp3/trig/area/S0.1m-0.8.png,,6,area,-0.13,-0.115,-0.01,0.01,80
0.05,1,trig,0.4,data/Exp3/trig/scatter/S0.05m0.4.png,,6,scatter,-0.05,-0.035,-0.01,0.01,81
0.05,-1,trig,0.4,data/Exp3/trig/scatter/S0.05m-0.4.png,,6,scatter,-0.16,-0.155,-0.01,0.01,82
0.15,-1,quad,0.8,data/Exp3/quad/area/S0.15m-0.8.png,,6,area,-0.06,-0.045,-0.01,0.01,83
0.15,1,trig,0.2,data/Exp3/trig/scatter/S0.15m0.2.png,,6,scatter,0,0.04,-0.04,0.04,84
0.2,-1,quad,0.1,data/Exp3/quad/area/S0.2m-0.1.png,,6,area,-0.13,-0.085,-0.04,0.04,85
0.15,-1,line,0.4,data/Exp3/line/line/S0.15m-0.4.png,,6,line,0.14,0.155,-0.01,0.01,87
0.05,-1,quad,0.2,data/Exp3/quad/area/S0.05m-0.2.png,,6,area,-0.24,-0.225,-0.01,0.01,88
0.2,-1,trig,0.2,data/Exp3/trig/area/S0.2m-0.2.png,,6,area,0.01,0.035,-0.03,0.03,89
0.15,1,line,0.2,data/Exp3/line/line/S0.15m0.2.png,,6,line,-0.11,-0.075,-0.04,0.04,90
0.1,-1,quad,0.1,data/Exp3/quad/area/S0.1m-0.1.png,,6,area,-0.06,-0.045,-0.01,0.01,91
0.15,1,trig,0.1,data/Exp3/trig/area/S0.15m0.1.png,,6,area,0.2,0.175,0.03,0.03,92
0.15,-1,quad,0.8,data/Exp3/quad/scatter/S0.15m-0.8.png,,6,scatter,-0.2,-0.115,-0.09,0.09,93
0.15,-1,line,0.2,data/Exp3/line/line/S0.15m-0.2.png,,6,line,-0.08,-0.045,-0.04,0.04,95
0.15,-1,trig,0.4,data/Exp3/trig/area/S0.15m-0.4.png,,6,area,-0.19,-0.16,-0.03,0.03,98
0.2,1,line,0.4,data/Exp3/line/area/S0.2m0.4.png,,6,area,0.25,0.22,0.03,0.03,96
0.2,-1,quad,0.8,data/Exp3/quad/scatter/S0.2m-0.8.png,,6,scatter,0.21,0.18,0.03,0.03,99
0.1,-1,quad,0.1,data/Exp3/quad/line/S0.1m-0.1.png,,7,line,0.21,0.215,-0.01,0.01,0
0.15,1,quad,0.1,data/Exp3/quad/area/S0.15m0.1.png,,7,area,-0.21,-0.265,0.06,0.06,1
0.05,1,trig,0.8,data/Exp3/trig/line/S0.05m0.8.png,,7,line,-0.15,-0.14,-0.01,0.01,2
0.2,-1,trig,0.1,data/Exp3/trig/area/S0.2m-0.1.png,,7,area,0.03,-0.08,0.11,0.11,3
0.05,-1,trig,0.4,data/Exp3/trig/area/S0.05m-0.4.png,,7,area,-0.17,-0.205,0.03,0.03,4
0.05,1,quad,0.4,data/Exp3/quad/line/S0.05m0.4.png,,7,line,0.2,0.18,0.02,0.02,5
0.1,1,line,0.1,data/Exp3/line/scatter/S0.1m0.1.png,,7,scatter,0.17,0.155,0.02,0.02,6
0.05,1,quad,0.4,data/Exp3/quad/scatter/S0.05m0.4.png,,7,scatter,0.16,0.145,0.02,0.02,7
0.15,1,line,0.2,data/Exp3/line/line/S0.15m0.2.png,,7,line,0.2,0.205,0,0,8
0.05,-1,line,0.8,data/Exp3/line/line/S0.05m-0.8.png,,7,line,0.06,0.065,-0.01,0.01,9
0.15,-1,trig,0.4,data/Exp3/trig/line/S0.15m-0.4.png,,7,line,-0.18,-0.165,-0.01,0.01,10
0.15,-1,line,0.2,data/Exp3/line/area/S0.15m-0.2.png,,7,area,0.15,0.115,0.03,0.03,11
0.2,-1,quad,0.4,data/Exp3/quad/scatter/S0.2m-0.4.png,,7,scatter,0.14,0.125,0.02,0.02,12
0.1,1,line,0.4,data/Exp3/line/scatter/S0.1m0.4.png,,7,scatter,0.04,0.06,-0.02,0.02,13
0.15,1,trig,0.8,data/Exp3/trig/area/S0.15m0.8.png,,7,area,-0.2,-0.19,-0.01,0.01,14
0.15,1,line,0.1,data/Exp3/line/line/S0.15m0.1.png,,7,line,-0.02,-0.015,-0.01,0.01,15
0.1,-1,line,0.2,data/Exp3/line/line/S0.1m-0.2.png,,7,line,-0.07,-0.095,0.02,0.02,16
0.2,1,trig,0.4,data/Exp3/trig/scatter/S0.2m0.4.png,,7,scatter,0.24,0.17,0.07,0.07,17
0.2,1,trig,0.8,data/Exp3/trig/area/S0.2m0.8.png,,7,area,0.19,0.155,0.04,0.04,18
0.1,1,quad,0.2,data/Exp3/quad/scatter/S0.1m0.2.png,,7,scatter,0.24,0.225,0.01,0.01,19
0.15,-1,line,0.8,data/Exp3/line/line/S0.15m-0.8.png,,7,line,-0.19,-0.155,-0.04,0.04,20
0.1,1,line,0.4,data/Exp3/line/line/S0.1m0.4.png,,7,line,0.11,0.11,0,0,21
0.1,-1,line,0.2,data/Exp3/line/area/S0.1m-0.2.png,,7,area,-0.18,-0.235,0.05,0.05,22
0.1,1,trig,0.2,data/Exp3/trig/area/S0.1m0.2.png,,7,area,-0.19,-0.22,0.03,0.03,23
0.1,-1,quad,0.4,data/Exp3/quad/line/S0.1m-0.4.png,,7,line,-0.05,-0.04,-0.01,0.01,24
0.05,-1,line,0.2,data/Exp3/line/scatter/S0.05m-0.2.png,,7,scatter,-0.06,-0.065,0.01,0.01,25
0.1,1,trig,0.8,data/Exp3/trig/area/S0.1m0.8.png,,7,area,0.21,0.19,0.02,0.02,27
0.1,1,line,0.8,data/Exp3/line/line/S0.1m0.8.png,,7,line,0.14,0.145,0,0,28
0.05,-1,line,0.2,data/Exp3/line/area/S0.05m-0.2.png,,7,area,-0.19,-0.215,0.02,0.02,29
0.15,1,trig,0.1,data/Exp3/trig/scatter/S0.15m0.1.png,,7,scatter,0.07,0.055,0.02,0.02,30
0.15,1,trig,0.4,data/Exp3/trig/line/S0.15m0.4.png,,7,line,-0.16,-0.185,0.02,0.02,31
0.2,-1,trig,0.8,data/Exp3/trig/line/S0.2m-0.8.png,,7,line,-0.04,-0.08,0.04,0.04,32
0.1,-1,line,0.4,data/Exp3/line/scatter/S0.1m-0.4.png,,7,scatter,0.23,0.225,0.01,0.01,33
0.15,1,trig,0.4,data/Exp3/trig/scatter/S0.15m0.4.png,,7,scatter,0.15,0.12,0.03,0.03,34
0.15,1,line,0.8,data/Exp3/line/scatter/S0.15m0.8.png,,7,scatter,-0.17,-0.18,0.01,0.01,36
0.1,-1,line,0.8,data/Exp3/line/line/S0.1m-0.8.png,,7,line,-0.18,-0.165,-0.01,0.01,35
0.1,1,trig,0.1,data/Exp3/trig/area/S0.1m0.1.png,,7,area,-0.24,-0.29,0.05,0.05,37
0.2,1,trig,0.1,data/Exp3/trig/scatter/S0.2m0.1.png,,7,scatter,-0.02,0.01,-0.03,0.03,38
0.2,1,quad,0.8,data/Exp3/quad/scatter/S0.2m0.8.png,,7,scatter,-0.19,-0.155,-0.04,0.04,40
0.05,1,line,0.2,data/Exp3/line/area/S0.05m0.2.png,,7,area,-0.12,-0.125,0.01,0.01,41
0.2,1,line,0.1,data/Exp3/line/line/S0.2m0.1.png,,7,line,-0.21,-0.185,-0.02,0.02,42
0.15,-1,line,0.1,data/Exp3/line/area/S0.15m-0.1.png,,7,area,0.18,0.11,0.07,0.07,43
0.2,-1,quad,0.4,data/Exp3/quad/area/S0.2m-0.4.png,,7,area,-0.03,-0.155,0.13,0.13,44
0.2,-1,quad,0.8,data/Exp3/quad/area/S0.2m-0.8.png,,7,area,0.24,0.18,0.06,0.06,45
0.05,-1,quad,0.2,data/Exp3/quad/line/S0.05m-0.2.png,,7,line,-0.06,-0.04,-0.02,0.02,46
0.05,-1,trig,0.1,data/Exp3/trig/scatter/S0.05m-0.1.png,,7,scatter,-0.01,-0.01,0,0,47
0.2,-1,quad,0.2,data/Exp3/quad/scatter/S0.2m-0.2.png,,7,scatter,0.14,0.13,0.01,0.01,48
0.05,1,quad,0.8,data/Exp3/quad/area/S0.05m0.8.png,,7,area,-0.06,-0.045,-0.01,0.01,49
0.1,-1,trig,0.8,data/Exp3/trig/scatter/S0.1m-0.8.png,,7,scatter,-0.19,-0.17,-0.02,0.02,51
0.05,1,trig,0.4,data/Exp3/trig/area/S0.05m0.4.png,,7,area,0.04,0.05,-0.01,0.01,52
0.15,-1,trig,0.4,data/Exp3/trig/area/S0.15m-0.4.png,,7,area,0.11,0.085,0.02,0.02,53
0.15,1,quad,0.2,data/Exp3/quad/area/S0.15m0.2.png,,7,area,0.25,0.18,0.07,0.07,54
0.15,-1,line,0.1,data/Exp3/line/scatter/S0.15m-0.1.png,,7,scatter,-0.13,-0.135,0.01,0.01,55
0.05,-1,trig,0.4,data/Exp3/trig/scatter/S0.05m-0.4.png,,7,scatter,-0.01,-0.02,0.01,0.01,56
0.2,1,line,0.2,data/Exp3/line/scatter/S0.2m0.2.png,,7,scatter,0.07,0.145,-0.07,0.07,57
0.15,1,trig,0.8,data/Exp3/trig/line/S0.15m0.8.png,,7,line,-0.19,-0.155,-0.04,0.04,58
0.15,-1,line,0.8,data/Exp3/line/area/S0.15m-0.8.png,,7,area,-0.14,-0.11,-0.03,0.03,60
0.1,1,trig,0.1,data/Exp3/trig/line/S0.1m0.1.png,,7,line,0.05,0.065,-0.01,0.01,61
0.2,-1,trig,0.2,data/Exp3/trig/line/S0.2m-0.2.png,,7,line,0.15,0.17,-0.02,0.02,62
0.1,1,trig,0.8,data/Exp3/trig/scatter/S0.1m0.8.png,,7,scatter,-0.05,-0.03,-0.02,0.02,63
0.2,1,quad,0.1,data/Exp3/quad/area/S0.2m0.1.png,,7,area,-0.03,-0.07,0.04,0.04,64
0.15,-1,trig,0.2,data/Exp3/trig/scatter/S0.15m-0.2.png,,7,scatter,0.04,0.01,0.03,0.03,65
0.1,-1,quad,0.2,data/Exp3/quad/scatter/S0.1m-0.2.png,,7,scatter,-0.22,-0.2,-0.02,0.02,66
0.15,-1,trig,0.1,data/Exp3/trig/line/S0.15m-0.1.png,,7,line,-0.25,-0.26,0.01,0.01,67
0.05,1,trig,0.1,data/Exp3/trig/line/S0.05m0.1.png,,7,line,-0.24,-0.235,-0.01,0.01,68
0.2,-1,quad,0.1,data/Exp3/quad/scatter/S0.2m-0.1.png,,7,scatter,-0.08,-0.14,0.06,0.06,69
0.05,-1,line,0.1,data/Exp3/line/line/S0.05m-0.1.png,,7,line,0.17,0.155,0.02,0.02,70
0.2,1,line,0.4,data/Exp3/line/area/S0.2m0.4.png,,7,area,0.02,-0.085,0.11,0.11,71
0.05,1,line,0.1,data/Exp3/line/area/S0.05m0.1.png,,7,area,0.09,0.1,-0.01,0.01,72
0.15,-1,line,0.4,data/Exp3/line/scatter/S0.15m-0.4.png,,7,scatter,0.19,0.21,-0.02,0.02,73
0.05,-1,trig,0.1,data/Exp3/trig/area/S0.05m-0.1.png,,7,area,-0.08,-0.08,0,0,74
0.2,1,line,0.4,data/Exp3/line/line/S0.2m0.4.png,,7,line,0.25,0.255,-0.01,0.01,75
0.15,1,trig,0.4,data/Exp3/trig/area/S0.15m0.4.png,,7,area,-0.08,-0.1,0.02,0.02,76
0.2,1,quad,0.8,data/Exp3/quad/line/S0.2m0.8.png,,7,line,-0.24,-0.23,-0.01,0.01,77
0.05,-1,line,0.8,data/Exp3/line/scatter/S0.05m-0.8.png,,7,scatter,0.07,0.095,-0.02,0.02,78
0.15,-1,trig,0.8,data/Exp3/trig/scatter/S0.15m-0.8.png,,7,scatter,0.21,0.2,0.01,0.01,79
0.2,1,quad,0.2,data/Exp3/quad/area/S0.2m0.2.png,,7,area,0.18,0.185,-0.01,0.01,80
0.1,1,line,0.2,data/Exp3/line/line/S0.1m0.2.png,,7,line,-0.1,-0.115,0.01,0.01,81
0.1,-1,quad,0.8,data/Exp3/quad/area/S0.1m-0.8.png,,7,area,0.13,0.155,-0.02,0.02,82
0.1,1,quad,0.4,data/Exp3/quad/area/S0.1m0.4.png,,7,area,-0.19,-0.26,0.07,0.07,83
0.05,1,quad,0.2,data/Exp3/quad/scatter/S0.05m0.2.png,,7,scatter,-0.02,-0.02,0,0,84
0.05,-1,trig,0.4,data/Exp3/trig/line/S0.05m-0.4.png,,7,line,0.16,0.16,0,0,85
0.1,-1,quad,0.1,data/Exp3/quad/scatter/S0.1m-0.1.png,,7,scatter,0.01,0.03,-0.02,0.02,86
0.2,1,quad,0.2,data/Exp3/quad/line/S0.2m0.2.png,,7,line,0.04,0.045,0,0,39
0.2,-1,quad,0.2,data/Exp3/quad/area/S0.2m-0.2.png,,7,area,-0.09,-0.095,0.01,0.01,87
0.05,1,quad,0.1,data/Exp3/quad/scatter/S0.05m0.1.png,,7,scatter,-0.08,-0.085,0.01,0.01,88
0.15,1,quad,0.2,data/Exp3/quad/scatter/S0.15m0.2.png,,7,scatter,-0.18,-0.135,-0.04,0.04,89
0.1,-1,quad,0.4,data/Exp3/quad/area/S0.1m-0.4.png,,7,area,-0.01,0.015,-0.03,0.03,90
0.2,-1,quad,0.1,data/Exp3/quad/line/S0.2m-0.1.png,,7,line,-0.08,-0.01,-0.07,0.07,92
0.2,-1,trig,0.8,data/Exp3/trig/scatter/S0.2m-0.8.png,,7,scatter,-0.18,-0.155,-0.02,0.02,93
0.2,-1,line,0.4,data/Exp3/line/line/S0.2m-0.4.png,,7,line,-0.16,-0.135,-0.02,0.02,95
0.1,-1,quad,0.1,data/Exp3/quad/area/S0.1m-0.1.png,,7,area,0.09,0.09,0,0,96
0.05,-1,quad,0.8,data/Exp3/quad/area/S0.05m-0.8.png,,7,area,-0.05,-0.045,-0.01,0.01,97
0.05,1,line,0.2,data/Exp3/line/line/S0.05m0.2.png,,7,line,0.19,0.185,0.01,0.01,98
0.15,-1,line,0.2,data/Exp3/line/line/S0.15m-0.2.png,,7,line,-0.14,-0.145,0,0,99
0.05,-1,quad,0.1,data/Exp3/quad/area/S0.05m-0.1.png,,8,area,-0.24,-0.105,-0.14,0.14,0
0.2,1,line,0.2,data/Exp3/line/line/S0.2m0.2.png,,8,line,0.09,0.5,-0.41,0.41,1
0.2,-1,line,0.2,data/Exp3/line/scatter/S0.2m-0.2.png,,8,scatter,-0.16,-0.25,0.09,0.09,2
0.05,-1,quad,0.4,data/Exp3/quad/area/S0.05m-0.4.png,,8,area,0.07,-0.005,0.08,0.08,3
0.15,-1,trig,0.8,data/Exp3/trig/area/S0.15m-0.8.png,,8,area,0.24,0.11,0.13,0.13,4
0.15,1,trig,0.2,data/Exp3/trig/scatter/S0.15m0.2.png,,8,scatter,0.11,0.115,-0.01,0.01,5
0.15,-1,trig,0.8,data/Exp3/trig/line/S0.15m-0.8.png,,8,line,0.23,0.23,0,0,6
0.1,1,trig,0.1,data/Exp3/trig/line/S0.1m0.1.png,,8,line,0.11,0.155,-0.04,0.04,7
0.1,1,quad,0.4,data/Exp3/quad/scatter/S0.1m0.4.png,,8,scatter,-0.04,0.02,-0.06,0.06,8
0.05,1,trig,0.1,data/Exp3/trig/area/S0.05m0.1.png,,8,area,-0.05,0.035,-0.09,0.09,9
0.05,-1,line,0.2,data/Exp3/line/line/S0.05m-0.2.png,,8,line,0.05,0.16,-0.11,0.11,10
0.05,1,trig,0.2,data/Exp3/trig/scatter/S0.05m0.2.png,,8,scatter,0.04,0.115,-0.08,0.08,11
0.2,1,quad,0.1,data/Exp3/quad/area/S0.2m0.1.png,,8,area,0.08,0.47,-0.39,0.39,12
0.2,-1,line,0.2,data/Exp3/line/line/S0.2m-0.2.png,,8,line,0.19,0.5,-0.31,0.31,13
0.05,-1,line,0.4,data/Exp3/line/scatter/S0.05m-0.4.png,,8,scatter,0.09,0.115,-0.03,0.03,14
0.1,1,quad,0.8,data/Exp3/quad/line/S0.1m0.8.png,,8,line,-0.08,0.055,-0.14,0.14,15
