sigma,sign,type,m,src,isValidation,id,graphtype,offset,answer,error,unsignedError,index
0.15,-1,trig,0.2,data/Exp3/trig/line/S0.15m-0.2.png,,0,line,0.15,0.16,-0.01,0.01,58
0.05,1,trig,0.1,data/Exp3/trig/scatter/S0.05m0.1.png,,0,scatter,0.09,0.1,-0.01,0.01,59
0.2,-1,line,0.2,data/Exp3/line/line/S0.2m-0.2.png,,0,line,-0.11,-0.105,-0.01,0.01,60
0.1,-1,quad,0.2,data/Exp3/quad/area/S0.1m-0.2.png,,0,area,-0.09,-0.085,0,0,61
0.1,1,line,0.2,data/Exp3/line/area/S0.1m0.2.png,,0,area,0.25,0.215,0.04,0.04,62
0.15,-1,trig,0.2,data/Exp3/trig/area/S0.15m-0.2.png,,0,area,0.08,0.03,0.05,0.05,63
0.1,-1,quad,0.4,data/Exp3/quad/area/S0.1m-0.4.png,,0,area,-0.1,-0.105,0,0,64
0.1,1,line,0.1,data/Exp3/line/area/S0.1m0.1.png,,0,area,-0.02,-0.025,0.01,0.01,65
0.15,-1,quad,0.8,data/Exp3/quad/line/S0.15m-0.8.png,,0,line,0.22,0.23,-0.01,0.01,66
0.2,-1,quad,0.4,data/Exp3/quad/area/S0.2m-0.4.png,,0,area,0.02,-0.025,0.04,0.04,67
0.2,-1,trig,0.1,data/Exp3/trig/scatter/S0.2m-0.1.png,,0,scatter,0.11,0.12,-0.01,0.01,68
0.15,-1,trig,0.8,data/Exp3/trig/area/S0.15m-0.8.png,,0,area,0.11,0.085,0.02,0.02,69
0.2,-1,line,0.4,data/Exp3/line/line/S0.2m-0.4.png,,0,line,-0.16,-0.165,0.01,0.01,72
0.05,1,trig,0.4,data/Exp3/trig/area/S0.05m0.4.png,,0,area,0.23,0.23,0,0,70
0.1,1,line,0.8,data/Exp3/line/area/S0.1m0.8.png,,0,area,0.12,0.105,0.01,0.01,71
0.15,-1,trig,0.2,data/Exp3/trig/scatter/S0.15m-0.2.png,,0,scatter,0.11,0.145,-0.03,0.03,73
0.15,1,line,0.1,data/Exp3/line/scatter/S0.15m0.1.png,,0,scatter,0.06,0.04,0.02,0.02,74
0.1,1,trig,0.4,data/Exp3/trig/line/S0.1m0.4.png,,0,line,-0.17,-0.175,0,0,75
0.2,1,trig,0.2,data/Exp3/trig/area/S0.2m0.2.png,,0,area,-0.03,-0.115,0.09,0.09,76
0.1,-1,quad,0.1,data/Exp3/quad/line/S0.1m-0.1.png,,0,line,0.07,0.075,0,0,77
0.2,1,quad,0.2,data/Exp3/quad/line/S0.2m0.2.png,,0,line,0.2,0.15,0.05,0.05,78
0.1,-1,line,0.2,data/Exp3/line/line/S0.1m-0.2.png,,0,line,-0.03,-0.055,0.03,0.03,79
0.05,-1,line,0.8,data/Exp3/line/scatter/S0.05m-0.8.png,,0,scatter,-0.06,-0.065,0.01,0.01,80
0.1,1,trig,0.4,data/Exp3/trig/scatter/S0.1m0.4.png,,0,scatter,-0.18,-0.195,0.02,0.02,81
0.15,1,line,0.2,data/Exp3/line/area/S0.15m0.2.png,,0,area,0.14,0.085,0.06,0.06,82
0.05,-1,quad,0.8,data/Exp3/quad/area/S0.05m-0.8.png,,0,area,-0.04,-0.04,0,0,83
0.05,-1,trig,0.1,data/Exp3/trig/line/S0.05m-0.1.png,,0,line,-0.06,-0.08,0.02,0.02,84
0.05,1,quad,0.8,data/Exp3/quad/line/S0.05m0.8.png,,0,line,-0.24,-0.24,0,0,85
0.1,1,quad,0.1,data/Exp3/quad/line/S0.1m0.1.png,,0,line,-0.02,-0.04,0.02,0.02,86
0.1,-1,trig,0.8,data/Exp3/trig/line/S0.1m-0.8.png,,0,line,0.25,0.235,0.02,0.02,87
0.2,1,line,0.4,data/Exp3/line/line/S0.2m0.4.png,,0,line,-0.24,-0.22,-0.02,0.02,89
0.15,-1,line,0.4,data/Exp3/line/area/S0.15m-0.4.png,,0,area,0.17,0.17,0,0,92
0.15,1,line,0.8,data/Exp3/line/area/S0.15m0.8.png,,0,area,0.13,0.1,0.03,0.03,91
0.05,-1,trig,0.2,data/Exp3/trig/line/S0.05m-0.2.png,,0,line,0.03,0.05,-0.02,0.02,90
0.1,1,trig,0.1,data/Exp3/trig/scatter/S0.1m0.1.png,,0,scatter,-0.07,-0.07,0,0,93
0.2,1,trig,0.1,data/Exp3/trig/scatter/S0.2m0.1.png,,0,scatter,-0.08,-0.085,0.01,0.01,94
0.1,-1,quad,0.1,data/Exp3/quad/scatter/S0.1m-0.1.png,,0,scatter,-0.17,-0.18,0.01,0.01,95
0.05,1,line,0.2,data/Exp3/line/scatter/S0.05m0.2.png,,0,scatter,0.15,0.14,0.01,0.01,96
0.2,-1,trig,0.2,data/Exp3/trig/area/S0.2m-0.2.png,,0,area,-0.18,-0.205,0.02,0.02,97
0.2,1,quad,0.1,data/Exp3/quad/line/S0.2m0.1.png,,0,line,0.09,0.105,-0.01,0.01,98
0.05,1,quad,0.4,data/Exp3/quad/line/S0.05m0.4.png,,0,line,-0.06,-0.065,0.01,0.01,99
0.1,-1,quad,0.1,data/Exp3/quad/line/S0.1m-0.1.png,,1,line,-0.15,-0.13,-0.02,0.02,0
0.05,-1,quad,0.8,data/Exp3/quad/line/S0.05m-0.8.png,,1,line,0.2,0.195,0.01,0.01,1
0.2,1,trig,0.1,data/Exp3/trig/scatter/S0.2m0.1.png,,1,scatter,-0.24,-0.285,0.04,0.04,2
0.1,1,line,0.4,data/Exp3/line/area/S0.1m0.4.png,,1,area,0.01,-0.075,0.08,0.08,3
0.15,-1,trig,0.8,data/Exp3/trig/line/S0.15m-0.8.png,,1,line,0.16,0.15,0.01,0.01,4
0.05,1,trig,0.1,data/Exp3/trig/line/S0.05m0.1.png,,1,line,0.07,0.07,0,0,5
0.1,-1,quad,0.8,data/Exp3/quad/scatter/S0.1m-0.8.png,,1,scatter,0.09,0.05,0.04,0.04,6
