sigma,sign,type,m,src,isValidation,id,graphtype,answer,error,unsignedError,index
0.1,1,line,0.4,data/Exp2/line/area/S0.1m0.4.png,,0,area,0.51,-0.11,0.11,37
0.1,1,trig,0.8,data/Exp2/trig/area/S0.1m0.8.png,,0,area,1,-0.2,0.2,38
0.15,-1,trig,0.2,data/Exp2/trig/line/S0.15m-0.2.png,,0,line,-0.26,0.06,0.06,39
0.15,1,line,0.1,data/Exp2/line/area/S0.15m0.1.png,,0,area,-0.04,0.14,0.14,40
0.1,-1,line,0.2,data/Exp2/line/area/S0.1m-0.2.png,,0,area,-0.16,-0.04,0.04,41
0.15,1,line,0.8,data/Exp2/line/scatter/S0.15m0.8.png,,0,scatter,1,-0.2,0.2,42
0.15,-1,line,0.1,data/Exp2/line/scatter/S0.15m-0.1.png,,0,scatter,-0.21,0.11,0.11,44
0.05,1,line,0.4,data/Exp2/line/area/S0.05m0.4.png,,0,area,0.45,-0.05,0.05,43
0.2,1,quad,0.4,data/Exp2/quad/scatter/S0.2m0.4.png,,0,scatter,0.76,-0.36,0.36,45
0.1,-1,line,0.2,data/Exp2/line/line/S0.1m-0.2.png,,0,line,-0.22,0.02,0.02,47
0.15,-1,trig,0.8,data/Exp2/trig/scatter/S0.15m-0.8.png,,0,scatter,-0.97,0.17,0.17,48
0.15,-1,line,0.4,data/Exp2/line/area/S0.15m-0.4.png,,0,area,-0.52,0.12,0.12,49
0.2,-1,quad,0.1,data/Exp2/quad/line/S0.2m-0.1.png,,0,line,-0.04,-0.06,0.06,50
0.2,-1,trig,0.8,data/Exp2/trig/scatter/S0.2m-0.8.png,,0,scatter,-1,0.2,0.2,51
0.2,-1,quad,0.1,data/Exp2/quad/scatter/S0.2m-0.1.png,,0,scatter,-0.11,0.01,0.01,52
0.05,1,line,0.4,data/Exp2/line/scatter/S0.05m0.4.png,,0,scatter,0.45,-0.05,0.05,53
0.15,1,quad,0.2,data/Exp2/quad/area/S0.15m0.2.png,,0,area,0.28,-0.08,0.08,54
0.1,-1,line,0.8,data/Exp2/line/area/S0.1m-0.8.png,,0,area,-0.87,0.07,0.07,55
0.15,-1,quad,0.2,data/Exp2/quad/area/S0.15m-0.2.png,,0,area,-0.1,-0.1,0.1,56
0.15,1,line,0.1,data/Exp2/line/scatter/S0.15m0.1.png,,0,scatter,0.27,-0.17,0.17,57
0.2,1,trig,0.1,data/Exp2/trig/scatter/S0.2m0.1.png,,0,scatter,0.22,-0.12,0.12,58
0.2,1,line,0.8,data/Exp2/line/area/S0.2m0.8.png,,0,area,0.82,-0.02,0.02,59
0.15,-1,trig,0.1,data/Exp2/trig/line/S0.15m-0.1.png,,0,line,-0.11,0.01,0.01,60
0.2,1,trig,0.4,data/Exp2/trig/area/S0.2m0.4.png,,0,area,0.6,-0.2,0.2,61
0.1,1,quad,0.1,data/Exp2/quad/line/S0.1m0.1.png,,0,line,0.13,-0.03,0.03,64
0.05,-1,quad,0.2,data/Exp2/quad/line/S0.05m-0.2.png,,0,line,-0.21,0.01,0.01,63
0.05,-1,trig,0.2,data/Exp2/trig/area/S0.05m-0.2.png,,0,area,-0.32,0.12,0.12,65
0.2,1,line,0.1,data/Exp2/line/area/S0.2m0.1.png,,0,area,0.16,-0.06,0.06,66
0.2,1,quad,0.8,data/Exp2/quad/line/S0.2m0.8.png,,0,line,0.9,-0.1,0.1,67
0.1,1,trig,0.1,data/Exp2/trig/area/S0.1m0.1.png,,0,area,0.16,-0.06,0.06,68
0.2,-1,trig,0.2,data/Exp2/trig/area/S0.2m-0.2.png,,0,area,-0.31,0.11,0.11,69
0.15,-1,trig,0.4,data/Exp2/trig/line/S0.15m-0.4.png,,0,line,-0.58,0.18,0.18,70
0.1,1,trig,0.4,data/Exp2/trig/scatter/S0.1m0.4.png,,0,scatter,0.47,-0.07,0.07,71
0.05,-1,trig,0.4,data/Exp2/trig/scatter/S0.05m-0.4.png,,0,scatter,-0.43,0.03,0.03,72
0.1,-1,line,0.1,data/Exp2/line/line/S0.1m-0.1.png,,0,line,-0.08,-0.02,0.02,73
0.1,-1,trig,0.4,data/Exp2/trig/scatter/S0.1m-0.4.png,,0,scatter,-0.52,0.12,0.12,74
0.2,-1,quad,0.4,data/Exp2/quad/scatter/S0.2m-0.4.png,,0,scatter,-0.36,-0.04,0.04,76
0.05,1,trig,0.1,data/Exp2/trig/area/S0.05m0.1.png,,0,area,0.18,-0.08,0.08,77
0.05,-1,trig,0.8,data/Exp2/trig/area/S0.05m-0.8.png,,0,area,-0.89,0.09,0.09,78
0.1,1,trig,0.1,data/Exp2/trig/scatter/S0.1m0.1.png,,0,scatter,0.08,0.02,0.02,79
0.2,1,line,0.4,data/Exp2/line/line/S0.2m0.4.png,,0,line,0.4,0,0,80
0.2,-1,quad,0.8,data/Exp2/quad/line/S0.2m-0.8.png,,0,line,-0.8,0,0,81
0.1,1,trig,0.8,data/Exp2/trig/line/S0.1m0.8.png,,0,line,0.91,-0.11,0.11,83
0.05,-1,line,0.4,data/Exp2/line/area/S0.05m-0.4.png,,0,area,-0.48,0.08,0.08,82
0.2,1,quad,0.2,data/Exp2/quad/line/S0.2m0.2.png,,0,line,0.05,0.15,0.15,84
