sigma,sign,type,m,src,isValidation,id,graphtype,answer,error,unsignedError,index
0.05,-1,trig,0.2,data/Exp2/trig/area/S0.05m-0.2.png,,12,area,-0.23,0.03,0.03,15
0.15,-1,line,0.2,data/Exp2/line/area/S0.15m-0.2.png,,12,area,-0.22,0.02,0.02,16
0.15,1,trig,0.2,data/Exp2/trig/line/S0.15m0.2.png,,12,line,0.47,-0.27,0.27,17
0.15,-1,line,0.4,data/Exp2/line/scatter/S0.15m-0.4.png,,12,scatter,-0.44,0.04,0.04,18
0.2,-1,trig,0.8,data/Exp2/trig/area/S0.2m-0.8.png,,12,area,-0.81,0.01,0.01,20
0.2,-1,quad,0.1,data/Exp2/quad/scatter/S0.2m-0.1.png,,12,scatter,-0.19,0.09,0.09,21
0.2,-1,line,0.2,data/Exp2/line/area/S0.2m-0.2.png,,12,area,-0.48,0.28,0.28,22
0.15,-1,quad,0.1,data/Exp2/quad/area/S0.15m-0.1.png,,12,area,-0.15,0.05,0.05,23
0.2,-1,quad,0.2,data/Exp2/quad/line/S0.2m-0.2.png,,12,line,-0.37,0.17,0.17,25
0.2,1,trig,0.4,data/Exp2/trig/area/S0.2m0.4.png,,12,area,0.53,-0.13,0.13,26
0.2,-1,quad,0.4,data/Exp2/quad/line/S0.2m-0.4.png,,12,line,-0.45,0.05,0.05,27
0.15,1,quad,0.1,data/Exp2/quad/area/S0.15m0.1.png,,12,area,0.08,0.02,0.02,28
0.05,1,line,0.1,data/Exp2/line/area/S0.05m0.1.png,,12,area,0.12,-0.02,0.02,29
0.1,-1,trig,0.1,data/Exp2/trig/line/S0.1m-0.1.png,,12,line,-0.18,0.08,0.08,30
0.1,1,quad,0.1,data/Exp2/quad/scatter/S0.1m0.1.png,,12,scatter,0.24,-0.14,0.14,31
0.2,1,line,0.2,data/Exp2/line/area/S0.2m0.2.png,,12,area,0.12,0.08,0.08,32
0.05,-1,trig,0.2,data/Exp2/trig/scatter/S0.05m-0.2.png,,12,scatter,-0.26,0.06,0.06,33
0.05,-1,trig,0.1,data/Exp2/trig/line/S0.05m-0.1.png,,12,line,-0.14,0.04,0.04,34
0.15,-1,quad,0.4,data/Exp2/quad/area/S0.15m-0.4.png,,12,area,-0.51,0.11,0.11,36
0.2,1,line,0.4,data/Exp2/line/line/S0.2m0.4.png,,12,line,0.56,-0.16,0.16,37
0.1,1,trig,0.4,data/Exp2/trig/area/S0.1m0.4.png,,12,area,0.51,-0.11,0.11,38
0.1,1,trig,0.8,data/Exp2/trig/line/S0.1m0.8.png,,12,line,0.82,-0.02,0.02,39
0.1,-1,trig,0.4,data/Exp2/trig/line/S0.1m-0.4.png,,12,line,-0.45,0.05,0.05,40
0.15,-1,trig,0.8,data/Exp2/trig/line/S0.15m-0.8.png,,12,line,-0.9,0.1,0.1,41
0.15,1,line,0.8,data/Exp2/line/area/S0.15m0.8.png,,12,area,0.81,-0.01,0.01,42
0.05,1,trig,0.2,data/Exp2/trig/scatter/S0.05m0.2.png,,12,scatter,0.29,-0.09,0.09,44
0.05,1,line,0.2,data/Exp2/line/line/S0.05m0.2.png,,12,line,0.25,-0.05,0.05,43
0.2,-1,trig,0.8,data/Exp2/trig/scatter/S0.2m-0.8.png,,12,scatter,-1,0.2,0.2,45
0.2,1,trig,0.2,data/Exp2/trig/line/S0.2m0.2.png,,12,line,0.29,-0.09,0.09,46
0.15,1,trig,0.4,data/Exp2/trig/scatter/S0.15m0.4.png,,12,scatter,0.53,-0.13,0.13,47
0.15,-1,line,0.1,data/Exp2/line/scatter/S0.15m-0.1.png,,12,scatter,-0.3,0.2,0.2,48
0.15,-1,trig,0.2,data/Exp2/trig/line/S0.15m-0.2.png,,12,line,-0.28,0.08,0.08,49
0.1,-1,trig,0.1,data/Exp2/trig/scatter/S0.1m-0.1.png,,12,scatter,-0.24,0.14,0.14,50
0.05,-1,line,0.1,data/Exp2/line/scatter/S0.05m-0.1.png,,12,scatter,-0.11,0.01,0.01,51
0.2,1,quad,0.8,data/Exp2/quad/line/S0.2m0.8.png,,12,line,0.93,-0.13,0.13,53
0.05,-1,trig,0.8,data/Exp2/trig/line/S0.05m-0.8.png,,12,line,-0.83,0.03,0.03,52
0.1,1,line,0.2,data/Exp2/line/area/S0.1m0.2.png,,12,area,0.24,-0.04,0.04,55
0.2,1,quad,0.1,data/Exp2/quad/line/S0.2m0.1.png,,12,line,0.12,-0.02,0.02,54
0.15,-1,line,0.8,data/Exp2/line/scatter/S0.15m-0.8.png,,12,scatter,-1,0.2,0.2,56
0.05,1,trig,0.8,data/Exp2/trig/scatter/S0.05m0.8.png,,12,scatter,0.81,-0.01,0.01,57
0.05,-1,quad,0.8,data/Exp2/quad/area/S0.05m-0.8.png,,12,area,-0.71,-0.09,0.09,58
0.05,1,trig,0.1,data/Exp2/trig/scatter/S0.05m0.1.png,,12,scatter,0.1,0,0,59
0.05,1,line,0.4,data/Exp2/line/area/S0.05m0.4.png,,12,area,0.38,0.02,0.02,61
0.1,-1,quad,0.4,data/Exp2/quad/area/S0.1m-0.4.png,,12,area,-0.3,-0.1,0.1,64
0.15,-1,line,0.2,data/Exp2/line/scatter/S0.15m-0.2.png,,12,scatter,-0.22,0.02,0.02,62
0.2,1,line,0.4,data/Exp2/line/scatter/S0.2m0.4.png,,12,scatter,0.64,-0.24,0.24,63
0.2,-1,quad,0.1,data/Exp2/quad/line/S0.2m-0.1.png,,12,line,-0.02,-0.08,0.08,65
0.05,1,line,0.2,data/Exp2/line/area/S0.05m0.2.png,,12,area,0.22,-0.02,0.02,67
0.05,-1,trig,0.1,data/Exp2/trig/area/S0.05m-0.1.png,,12,area,-0.15,0.05,0.05,66
0.1,1,quad,0.4,data/Exp2/quad/line/S0.1m0.4.png,,12,line,0.6,-0.2,0.2,68
0.15,1,trig,0.1,data/Exp2/trig/scatter/S0.15m0.1.png,,12,scatter,0.07,0.03,0.03,69
0.1,-1,quad,0.2,data/Exp2/quad/area/S0.1m-0.2.png,,12,area,-0.21,0.01,0.01,70
0.15,1,trig,0.4,data/Exp2/trig/area/S0.15m0.4.png,,12,area,0.53,-0.13,0.13,72
0.15,1,quad,0.2,data/Exp2/quad/scatter/S0.15m0.2.png,,12,scatter,0.15,0.05,0.05,71
0.05,1,quad,0.8,data/Exp2/quad/area/S0.05m0.8.png,,12,area,0.88,-0.08,0.08,73
0.15,1,quad,0.4,data/Exp2/quad/line/S0.15m0.4.png,,12,line,0.56,-0.16,0.16,74
0.05,-1,quad,0.2,data/Exp2/quad/line/S0.05m-0.2.png,,12,line,-0.28,0.08,0.08,75
0.2,1,trig,0.2,data/Exp2/trig/scatter/S0.2m0.2.png,,12,scatter,0.24,-0.04,0.04,76
0.2,1,line,0.1,data/Exp2/line/area/S0.2m0.1.png,,12,area,0.17,-0.07,0.07,77
0.05,-1,line,0.4,data/Exp2/line/area/S0.05m-0.4.png,,12,area,-0.43,0.03,0.03,79
0.1,1,quad,0.1,data/Exp2/quad/line/S0.1m0.1.png,,12,line,0.14,-0.04,0.04,78
0.2,1,line,0.8,data/Exp2/line/scatter/S0.2m0.8.png,,12,scatter,0.91,-0.11,0.11,81
0.1,-1,trig,0.8,data/Exp2/trig/scatter/S0.1m-0.8.png,,12,scatter,-0.75,-0.05,0.05,82
0.05,1,line,0.4,data/Exp2/line/scatter/S0.05m0.4.png,,12,scatter,0.47,-0.07,0.07,83
0.05,-1,line,0.4,data/Exp2/line/scatter/S0.05m-0.4.png,,12,scatter,-0.39,-0.01,0.01,84
0.2,-1,quad,0.2,data/Exp2/quad/scatter/S0.2m-0.2.png,,12,scatter,-0.51,0.31,0.31,85
0.1,1,line,0.1,data/Exp2/line/area/S0.1m0.1.png,,12,area,0.03,0.07,0.07,86
0.15,-1,line,0.4,data/Exp2/line/line/S0.15m-0.4.png,,12,line,-0.33,-0.07,0.07,87
0.1,-1,line,0.1,data/Exp2/line/area/S0.1m-0.1.png,,12,area,-0.17,0.07,0.07,88
0.1,-1,quad,0.2,data/Exp2/quad/line/S0.1m-0.2.png,,12,line,-0.25,0.05,0.05,89
0.1,1,trig,0.2,data/Exp2/trig/scatter/S0.1m0.2.png,,12,scatter,0.27,-0.07,0.07,90
0.2,-1,quad,0.4,data/Exp2/quad/scatter/S0.2m-0.4.png,,12,scatter,-0.48,0.08,0.08,91
0.1,1,line,0.8,data/Exp2/line/area/S0.1m0.8.png,,12,area,0.8,0,0,92
0.1,-1,trig,0.8,data/Exp2/trig/line/S0.1m-0.8.png,,12,line,-0.84,0.04,0.04,93
0.1,1,quad,0.8,data/Exp2/quad/scatter/S0.1m0.8.png,,12,scatter,0.74,0.06,0.06,94
0.2,-1,line,0.8,data/Exp2/line/line/S0.2m-0.8.png,,12,line,-1,0.2,0.2,95
0.05,-1,line,0.4,data/Exp2/line/line/S0.05m-0.4.png,,12,line,-0.38,-0.02,0.02,96
0.2,1,trig,0.8,data/Exp2/trig/area/S0.2m0.8.png,,12,area,0.91,-0.11,0.11,97
0.1,-1,trig,0.2,data/Exp2/trig/scatter/S0.1m-0.2.png,,12,scatter,-0.35,0.15,0.15,98
0.05,1,quad,0.1,data/Exp2/quad/line/S0.05m0.1.png,,12,line,0.17,-0.07,0.07,99
0.1,-1,trig,0.1,data/Exp2/trig/line/S0.1m-0.1.png,,13,line,-0.15,0.05,0.05,0
0.05,-1,line,0.4,data/Exp2/line/line/S0.05m-0.4.png,,13,line,-0.39,-0.01,0.01,2
0.2,1,line,0.8,data/Exp2/line/scatter/S0.2m0.8.png,,13,scatter,0.75,0.05,0.05,3
0.05,1,line,0.8,data/Exp2/line/area/S0.05m0.8.png,,13,area,1,-0.2,0.2,4
0.1,-1,line,0.2,data/Exp2/line/line/S0.1m-0.2.png,,13,line,-0.16,-0.04,0.04,6
0.2,-1,quad,0.2,data/Exp2/quad/scatter/S0.2m-0.2.png,,13,scatter,-0.1,-0.1,0.1,7
0.2,-1,trig,0.8,data/Exp2/trig/line/S0.2m-0.8.png,,13,line,-0.87,0.07,0.07,8
0.1,-1,trig,0.2,data/Exp2/trig/scatter/S0.1m-0.2.png,,13,scatter,-0.18,-0.02,0.02,9
0.2,-1,line,0.2,data/Exp2/line/line/S0.2m-0.2.png,,13,line,-0.26,0.06,0.06,10
0.15,-1,quad,0.8,data/Exp2/quad/area/S0.15m-0.8.png,,13,area,-0.85,0.05,0.05,11
0.1,1,quad,0.8,data/Exp2/quad/area/S0.1m0.8.png,,13,area,0.85,-0.05,0.05,12
0.1,1,quad,0.4,data/Exp2/quad/line/S0.1m0.4.png,,13,line,0.4,0,0,13
0.15,1,quad,0.8,data/Exp2/quad/scatter/S0.15m0.8.png,,13,scatter,1,-0.2,0.2,14
0.15,1,trig,0.2,data/Exp2/trig/area/S0.15m0.2.png,,13,area,0.28,-0.08,0.08,15
0.05,1,trig,0.4,data/Exp2/trig/scatter/S0.05m0.4.png,,13,scatter,0.44,-0.04,0.04,16
0.05,1,line,0.1,data/Exp2/line/area/S0.05m0.1.png,,13,area,0.08,0.02,0.02,17
0.05,-1,quad,0.2,data/Exp2/quad/area/S0.05m-0.2.png,,13,area,-0.26,0.06,0.06,18
0.1,1,trig,0.2,data/Exp2/trig/area/S0.1m0.2.png,,13,area,0.33,-0.13,0.13,19
0.1,-1,quad,0.4,data/Exp2/quad/scatter/S0.1m-0.4.png,,13,scatter,0.28,-0.68,0.68,20
0.15,-1,quad,0.4,data/Exp2/quad/line/S0.15m-0.4.png,,13,line,-0.4,0,0,21
0.05,1,quad,0.2,data/Exp2/quad/area/S0.05m0.2.png,,13,area,0.21,-0.01,0.01,22
0.05,1,quad,0.1,data/Exp2/quad/line/S0.05m0.1.png,,13,line,0.09,0.01,0.01,23
0.1,-1,line,0.1,data/Exp2/line/scatter/S0.1m-0.1.png,,13,scatter,-0.14,0.04,0.04,24
0.05,1,quad,0.4,data/Exp2/quad/area/S0.05m0.4.png,,13,area,0.48,-0.08,0.08,25
0.1,-1,quad,0.1,data/Exp2/quad/area/S0.1m-0.1.png,,13,area,-0.15,0.05,0.05,26
0.1,1,line,0.1,data/Exp2/line/line/S0.1m0.1.png,,13,line,0.06,0.04,0.04,27
0.1,1,trig,0.2,data/Exp2/trig/line/S0.1m0.2.png,,13,line,0.26,-0.06,0.06,28
0.15,1,trig,0.8,data/Exp2/trig/area/S0.15m0.8.png,,13,area,1,-0.2,0.2,29
0.2,1,line,0.4,data/Exp2/line/area/S0.2m0.4.png,,13,area,0.34,0.06,0.06,30
0.15,1,quad,0.4,data/Exp2/quad/line/S0.15m0.4.png,,13,line,0.31,0.09,0.09,31
0.05,-1,trig,0.1,data/Exp2/trig/area/S0.05m-0.1.png,,13,area,-0.15,0.05,0.05,32
0.05,1,trig,0.2,data/Exp2/trig/line/S0.05m0.2.png,,13,line,0.18,0.02,0.02,33
0.2,1,quad,0.1,data/Exp2/quad/area/S0.2m0.1.png,,13,area,0.19,-0.09,0.09,34
0.05,-1,trig,0.1,data/Exp2/trig/line/S0.05m-0.1.png,,13,line,-0.12,0.02,0.02,35
0.2,1,quad,0.2,data/Exp2/quad/scatter/S0.2m0.2.png,,13,scatter,0.21,-0.01,0.01,36
0.1,1,trig,0.8,data/Exp2/trig/scatter/S0.1m0.8.png,,13,scatter,0.93,-0.13,0.13,38
0.2,-1,quad,0.1,data/Exp2/quad/scatter/S0.2m-0.1.png,,13,scatter,-0.01,-0.09,0.09,37
0.2,1,trig,0.8,data/Exp2/trig/area/S0.2m0.8.png,,13,area,0.87,-0.07,0.07,39
0.15,1,trig,0.2,data/Exp2/trig/line/S0.15m0.2.png,,13,line,0.24,-0.04,0.04,40
0.1,-1,line,0.8,data/Exp2/line/scatter/S0.1m-0.8.png,,13,scatter,-0.73,-0.07,0.07,41
0.15,-1,trig,0.8,data/Exp2/trig/line/S0.15m-0.8.png,,13,line,-0.93,0.13,0.13,42
0.2,1,trig,0.1,data/Exp2/trig/line/S0.2m0.1.png,,13,line,0.12,-0.02,0.02,43
0.05,-1,quad,0.4,data/Exp2/quad/scatter/S0.05m-0.4.png,,13,scatter,-0.43,0.03,0.03,44
0.2,1,line,0.4,data/Exp2/line/scatter/S0.2m0.4.png,,13,scatter,0.74,-0.34,0.34,45
0.1,-1,quad,0.4,data/Exp2/quad/line/S0.1m-0.4.png,,13,line,-0.46,0.06,0.06,46
0.05,-1,line,0.8,data/Exp2/line/area/S0.05m-0.8.png,,13,area,-0.76,-0.04,0.04,47
0.2,-1,quad,0.1,data/Exp2/quad/line/S0.2m-0.1.png,,13,line,0.03,-0.13,0.13,48
0.15,-1,trig,0.4,data/Exp2/trig/scatter/S0.15m-0.4.png,,13,scatter,-0.33,-0.07,0.07,49
0.2,-1,line,0.4,data/Exp2/line/area/S0.2m-0.4.png,,13,area,-0.37,-0.03,0.03,51
0.1,-1,trig,0.2,data/Exp2/trig/area/S0.1m-0.2.png,,13,area,-0.24,0.04,0.04,52
0.1,1,line,0.1,data/Exp2/line/scatter/S0.1m0.1.png,,13,scatter,0.15,-0.05,0.05,53
0.15,-1,trig,0.2,data/Exp2/trig/scatter/S0.15m-0.2.png,,13,scatter,-0.2,0,0,54
0.05,1,trig,0.4,data/Exp2/trig/line/S0.05m0.4.png,,13,line,0.38,0.02,0.02,55
0.2,1,quad,0.2,data/Exp2/quad/area/S0.2m0.2.png,,13,area,0.19,0.01,0.01,57
0.15,-1,line,0.8,data/Exp2/line/scatter/S0.15m-0.8.png,,13,scatter,-0.88,0.08,0.08,58
0.15,-1,quad,0.1,data/Exp2/quad/line/S0.15m-0.1.png,,13,line,-0.19,0.09,0.09,59
0.15,-1,quad,0.4,data/Exp2/quad/area/S0.15m-0.4.png,,13,area,-0.55,0.15,0.15,60
0.15,1,trig,0.1,data/Exp2/trig/area/S0.15m0.1.png,,13,area,0.12,-0.02,0.02,61
0.2,-1,trig,0.4,data/Exp2/trig/line/S0.2m-0.4.png,,13,line,-0.48,0.08,0.08,62
0.2,1,line,0.2,data/Exp2/line/line/S0.2m0.2.png,,13,line,0.18,0.02,0.02,63
0.05,1,trig,0.8,data/Exp2/trig/scatter/S0.05m0.8.png,,13,scatter,0.82,-0.02,0.02,64
0.2,-1,quad,0.8,data/Exp2/quad/area/S0.2m-0.8.png,,13,area,-0.82,0.02,0.02,65
0.15,-1,line,0.2,data/Exp2/line/area/S0.15m-0.2.png,,13,area,-0.18,-0.02,0.02,66
0.1,1,line,0.8,data/Exp2/line/line/S0.1m0.8.png,,13,line,0.81,-0.01,0.01,68
0.05,-1,trig,0.1,data/Exp2/trig/scatter/S0.05m-0.1.png,,13,scatter,-0.1,0,0,69
0.1,-1,line,0.8,data/Exp2/line/area/S0.1m-0.8.png,,13,area,-0.91,0.11,0.11,71
0.15,1,quad,0.4,data/Exp2/quad/area/S0.15m0.4.png,,13,area,0.56,-0.16,0.16,70
0.2,-1,line,0.4,data/Exp2/line/scatter/S0.2m-0.4.png,,13,scatter,-0.13,-0.27,0.27,72
0.05,-1,line,0.4,data/Exp2/line/area/S0.05m-0.4.png,,13,area,-0.4,0,0,73
0.05,-1,line,0.2,data/Exp2/line/scatter/S0.05m-0.2.png,,13,scatter,-0.23,0.03,0.03,75
0.15,1,line,0.2,data/Exp2/line/scatter/S0.15m0.2.png,,13,scatter,0.17,0.03,0.03,74
0.1,1,quad,0.1,data/Exp2/quad/area/S0.1m0.1.png,,13,area,0.12,-0.02,0.02,76
0.05,1,trig,0.2,data/Exp2/trig/scatter/S0.05m0.2.png,,13,scatter,0.23,-0.03,0.03,77
0.15,-1,quad,0.2,data/Exp2/quad/line/S0.15m-0.2.png,,13,line,-0.19,-0.01,0.01,78
0.05,-1,line,0.8,data/Exp2/line/line/S0.05m-0.8.png,,13,line,-0.83,0.03,0.03,79
0.05,1,line,0.8,data/Exp2/line/line/S0.05m0.8.png,,13,line,0.82,-0.02,0.02,80
0.15,1,trig,0.8,data/Exp2/trig/line/S0.15m0.8.png,,13,line,0.81,-0.01,0.01,81
0.1,-1,trig,0.8,data/Exp2/trig/line/S0.1m-0.8.png,,13,line,-0.86,0.06,0.06,82
0.1,-1,quad,0.4,data/Exp2/quad/area/S0.1m-0.4.png,,13,area,-0.47,0.07,0.07,83
0.1,1,trig,0.4,data/Exp2/trig/scatter/S0.1m0.4.png,,13,scatter,0.43,-0.03,0.03,84
0.1,1,trig,0.4,data/Exp2/trig/area/S0.1m0.4.png,,13,area,0.55,-0.15,0.15,85
0.2,-1,trig,0.2,data/Exp2/trig/area/S0.2m-0.2.png,,13,area,-0.48,0.28,0.28,86
0.2,1,line,0.1,data/Exp2/line/scatter/S0.2m0.1.png,,13,scatter,0.26,-0.16,0.16,87
0.05,1,line,0.1,data/Exp2/line/scatter/S0.05m0.1.png,,13,scatter,0.07,0.03,0.03,88
0.15,1,trig,0.1,data/Exp2/trig/line/S0.15m0.1.png,,13,line,0.15,-0.05,0.05,89
0.05,-1,quad,0.8,data/Exp2/quad/scatter/S0.05m-0.8.png,,13,scatter,-0.84,0.04,0.04,90
0.15,1,line,0.4,data/Exp2/line/scatter/S0.15m0.4.png,,13,scatter,0.37,0.03,0.03,91
0.2,-1,line,0.1,data/Exp2/line/area/S0.2m-0.1.png,,13,area,-0.33,0.23,0.23,92
0.1,1,quad,0.2,data/Exp2/quad/scatter/S0.1m0.2.png,,13,scatter,0.23,-0.03,0.03,93
0.05,-1,quad,0.2,data/Exp2/quad/line/S0.05m-0.2.png,,13,line,-0.25,0.05,0.05,94
0.2,1,quad,0.4,data/Exp2/quad/line/S0.2m0.4.png,,13,line,0.53,-0.13,0.13,95
0.15,-1,quad,0.1,data/Exp2/quad/area/S0.15m-0.1.png,,13,area,-0.22,0.12,0.12,96
0.2,1,trig,0.8,data/Exp2/trig/line/S0.2m0.8.png,,13,line,0.92,-0.12,0.12,97
0.15,1,line,0.1,data/Exp2/line/scatter/S0.15m0.1.png,,13,scatter,0.12,-0.02,0.02,98
0.2,-1,trig,0.8,data/Exp2/trig/scatter/S0.2m-0.8.png,,13,scatter,-1,0.2,0.2,99
0.05,1,line,0.1,data/Exp2/line/scatter/S0.05m0.1.png,,14,scatter,0.24,-0.14,0.14,0
0.05,-1,quad,0.4,data/Exp2/quad/area/S0.05m-0.4.png,,14,area,-0.33,-0.07,0.07,1
0.1,-1,line,0.1,data/Exp2/line/area/S0.1m-0.1.png,,14,area,-0.23,0.13,0.13,2
0.1,1,quad,0.2,data/Exp2/quad/line/S0.1m0.2.png,,14,line,0.28,-0.08,0.08,3
0.2,1,quad,0.4,data/Exp2/quad/scatter/S0.2m0.4.png,,14,scatter,0.61,-0.21,0.21,4
0.05,1,line,0.4,data/Exp2/line/scatter/S0.05m0.4.png,,14,scatter,0.46,-0.06,0.06,5
0.1,1,quad,0.2,data/Exp2/quad/area/S0.1m0.2.png,,14,area,0.27,-0.07,0.07,7
0.1,-1,trig,0.4,data/Exp2/trig/scatter/S0.1m-0.4.png,,14,scatter,-0.4,0,0,8
0.15,1,line,0.8,data/Exp2/line/line/S0.15m0.8.png,,14,line,0.72,0.08,0.08,9
0.15,1,trig,0.8,data/Exp2/trig/area/S0.15m0.8.png,,14,area,0.86,-0.06,0.06,10
0.2,-1,trig,0.2,data/Exp2/trig/line/S0.2m-0.2.png,,14,line,-0.51,0.31,0.31,11
0.1,-1,quad,0.8,data/Exp2/quad/line/S0.1m-0.8.png,,14,line,-0.79,-0.01,0.01,13
0.2,-1,line,0.1,data/Exp2/line/scatter/S0.2m-0.1.png,,14,scatter,-0.18,0.08,0.08,14
0.05,-1,trig,0.2,data/Exp2/trig/line/S0.05m-0.2.png,,14,line,-0.26,0.06,0.06,15
0.05,1,quad,0.8,data/Exp2/quad/scatter/S0.05m0.8.png,,14,scatter,0.8,0,0,16
0.1,-1,line,0.2,data/Exp2/line/scatter/S0.1m-0.2.png,,14,scatter,-0.29,0.09,0.09,17
0.15,1,line,0.2,data/Exp2/line/area/S0.15m0.2.png,,14,area,0.25,-0.05,0.05,18
0.1,-1,trig,0.8,data/Exp2/trig/area/S0.1m-0.8.png,,14,area,-0.83,0.03,0.03,19
0.05,1,trig,0.1,data/Exp2/trig/line/S0.05m0.1.png,,14,line,0.15,-0.05,0.05,20
0.1,1,quad,0.4,data/Exp2/quad/scatter/S0.1m0.4.png,,14,scatter,0.5,-0.1,0.1,21
0.15,-1,line,0.4,data/Exp2/line/scatter/S0.15m-0.4.png,,14,scatter,-0.52,0.12,0.12,23
0.05,-1,trig,0.4,data/Exp2/trig/scatter/S0.05m-0.4.png,,14,scatter,-0.4,0,0,24
0.15,1,trig,0.2,data/Exp2/trig/scatter/S0.15m0.2.png,,14,scatter,0.37,-0.17,0.17,25
0.2,1,line,0.8,data/Exp2/line/scatter/S0.2m0.8.png,,14,scatter,0.97,-0.17,0.17,6
0.1,1,quad,0.8,data/Exp2/quad/area/S0.1m0.8.png,,14,area,0.88,-0.08,0.08,26
0.2,-1,quad,0.8,data/Exp2/quad/area/S0.2m-0.8.png,,14,area,-0.84,0.04,0.04,27
0.15,-1,line,0.2,data/Exp2/line/scatter/S0.15m-0.2.png,,14,scatter,-0.33,0.13,0.13,28
0.15,1,line,0.1,data/Exp2/line/scatter/S0.15m0.1.png,,14,scatter,0.25,-0.15,0.15,30
0.2,1,line,0.1,data/Exp2/line/scatter/S0.2m0.1.png,,14,scatter,-0.1,0.2,0.2,31
0.2,1,trig,0.2,data/Exp2/trig/scatter/S0.2m0.2.png,,14,scatter,0.54,-0.34,0.34,32
0.15,-1,trig,0.2,data/Exp2/trig/line/S0.15m-0.2.png,,14,line,-0.36,0.16,0.16,33
0.1,-1,trig,0.4,data/Exp2/trig/line/S0.1m-0.4.png,,14,line,-0.46,0.06,0.06,34
0.2,1,quad,0.4,data/Exp2/quad/area/S0.2m0.4.png,,14,area,0.57,-0.17,0.17,35
0.15,-1,quad,0.1,data/Exp2/quad/area/S0.15m-0.1.png,,14,area,-0.13,0.03,0.03,36
0.1,-1,line,0.2,data/Exp2/line/line/S0.1m-0.2.png,,14,line,-0.32,0.12,0.12,37
0.2,1,line,0.4,data/Exp2/line/line/S0.2m0.4.png,,14,line,0.63,-0.23,0.23,38
0.15,-1,trig,0.1,data/Exp2/trig/scatter/S0.15m-0.1.png,,14,scatter,-0.16,0.06,0.06,39
0.05,1,quad,0.8,data/Exp2/quad/line/S0.05m0.8.png,,14,line,0.82,-0.02,0.02,40
0.2,-1,quad,0.4,data/Exp2/quad/area/S0.2m-0.4.png,,14,area,-0.42,0.02,0.02,42
0.05,-1,trig,0.8,data/Exp2/trig/line/S0.05m-0.8.png,,14,line,-0.85,0.05,0.05,41
0.2,-1,trig,0.8,data/Exp2/trig/scatter/S0.2m-0.8.png,,14,scatter,-0.79,-0.01,0.01,43
0.1,1,line,0.4,data/Exp2/line/area/S0.1m0.4.png,,14,area,0.43,-0.03,0.03,44
0.1,1,quad,0.4,data/Exp2/quad/line/S0.1m0.4.png,,14,line,0.61,-0.21,0.21,45
0.15,1,trig,0.4,data/Exp2/trig/line/S0.15m0.4.png,,14,line,0.4,0,0,46
0.1,-1,trig,0.2,data/Exp2/trig/area/S0.1m-0.2.png,,14,area,-0.21,0.01,0.01,47
0.2,1,trig,0.1,data/Exp2/trig/line/S0.2m0.1.png,,14,line,0.39,-0.29,0.29,48
0.15,1,line,0.8,data/Exp2/line/scatter/S0.15m0.8.png,,14,scatter,0.89,-0.09,0.09,49
0.05,1,trig,0.8,data/Exp2/trig/area/S0.05m0.8.png,,14,area,0.81,-0.01,0.01,50
0.05,-1,line,0.2,data/Exp2/line/scatter/S0.05m-0.2.png,,14,scatter,-0.27,0.07,0.07,51
0.05,1,quad,0.4,data/Exp2/quad/area/S0.05m0.4.png,,14,area,0.43,-0.03,0.03,53
0.05,1,quad,0.2,data/Exp2/quad/area/S0.05m0.2.png,,14,area,0.25,-0.05,0.05,52
0.05,-1,line,0.8,data/Exp2/line/scatter/S0.05m-0.8.png,,14,scatter,-0.77,-0.03,0.03,54
0.15,-1,trig,0.8,data/Exp2/trig/line/S0.15m-0.8.png,,14,line,-0.79,-0.01,0.01,56
0.2,-1,trig,0.4,data/Exp2/trig/line/S0.2m-0.4.png,,14,line,-0.41,0.01,0.01,57
0.2,1,line,0.8,data/Exp2/line/line/S0.2m0.8.png,,14,line,0.79,0.01,0.01,58
0.05,1,quad,0.2,data/Exp2/quad/scatter/S0.05m0.2.png,,14,scatter,0.23,-0.03,0.03,59
0.05,-1,quad,0.8,data/Exp2/quad/area/S0.05m-0.8.png,,14,area,-0.74,-0.06,0.06,60
0.05,-1,trig,0.4,data/Exp2/trig/line/S0.05m-0.4.png,,14,line,-0.4,0,0,61
0.15,1,quad,0.1,data/Exp2/quad/area/S0.15m0.1.png,,14,area,0.14,-0.04,0.04,62
0.05,1,quad,0.4,data/Exp2/quad/line/S0.05m0.4.png,,14,line,0.41,-0.01,0.01,64
0.2,-1,line,0.1,data/Exp2/line/area/S0.2m-0.1.png,,14,area,-0.2,0.1,0.1,63
0.15,-1,trig,0.2,data/Exp2/trig/area/S0.15m-0.2.png,,14,area,-0.34,0.14,0.14,65
0.1,-1,line,0.1,data/Exp2/line/scatter/S0.1m-0.1.png,,14,scatter,-0.23,0.13,0.13,66
0.1,1,line,0.1,data/Exp2/line/line/S0.1m0.1.png,,14,line,0.12,-0.02,0.02,67
0.2,1,line,0.2,data/Exp2/line/line/S0.2m0.2.png,,14,line,0.3,-0.1,0.1,68
0.05,1,trig,0.1,data/Exp2/trig/area/S0.05m0.1.png,,14,area,0.12,-0.02,0.02,69
0.05,1,line,0.2,data/Exp2/line/line/S0.05m0.2.png,,14,line,0.21,-0.01,0.01,70
0.15,1,line,0.4,data/Exp2/line/scatter/S0.15m0.4.png,,14,scatter,0.62,-0.22,0.22,71
