sigma,sign,type,m,src,isValidation,id,graphtype,offset,outlierLoc,outlierNum,ix,iy,actualm,actualb,answer,error,unsignedError,errorActual,unsignedErrorActual,index
0.2,1,line,0.4,data/Exp4/line/area/S0.2m0.4ob0.png,,39,area,0,b,0,0,0,0.4,0.3,0.42,-0.02,0.02,-0.02,0.02,27
0.05,1,line,0.4,data/Exp4/line/area/S0.05m0.4om0.png,,39,area,0,m,0,0,0,0.4,0.3,0.36,0.04,0.04,0.04,0.04,29
0.05,-1,line,0.8,data/Exp4/line/scatter/S0.05m-0.8oe15.png,,39,scatter,0,e,15,0.30131248,0.6589498,0.07810753,0.635415,-0.72,-0.08,0.08,0.8,0.8,28
0.05,1,line,0.2,data/Exp4/line/area/S0.05m0.2oe15.png,,39,area,0,e,15,0.30406222,0.46081236,-0.4919391,0.61039245,0.13,0.07,0.07,-0.62,0.62,30
0.2,-1,line,0.1,data/Exp4/line/area/S0.2m-0.1oe10.png,,39,area,0,e,10,0.30165333,0.5198346,0.33629665,0.41838956,0.02,-0.12,0.12,0.32,0.32,31
0.05,1,line,0.2,data/Exp4/line/area/S0.05m0.2oe0.png,,39,area,0,e,0,0,0,0.2,0.4,0.28,-0.08,0.08,-0.08,0.08,32
0.2,1,line,0.1,data/Exp4/line/scatter/S0.2m0.1oe0.png,,39,scatter,0,e,0,0,0,0.1,0.45,0.11,-0.01,0.01,-0.01,0.01,33
0.05,-1,line,0.1,data/Exp4/line/scatter/S0.05m-0.1ob0.png,,39,scatter,0,b,0,0,0,-0.1,0.45,-0.11,0.01,0.01,0.01,0.01,34
0.1,-1,line,0.1,data/Exp4/line/area/S0.1m-0.1oe10.png,,39,area,0,e,10,0.3072457,0.5192755,0.35928553,0.40888655,-0.09,-0.01,0.01,0.45,0.45,35
0.1,1,line,0.4,data/Exp4/line/line/S0.1m0.4ob5.png,,39,line,0,b,5,0.6859817,0.5743928,0.10977576,0.49908862,0.3,0.1,0.1,-0.19,0.19,36
0.05,1,line,0.8,data/Exp4/line/line/S0.05m0.8ob15.png,,39,line,0,b,15,0.6993,0.65944016,-0.0713292,0.70932055,0.6,0.2,0.2,-0.67,0.67,37
0.05,1,line,0.1,data/Exp4/line/scatter/S0.05m0.1om10.png,,39,scatter,0,m,10,1.001305,0.5501305,-0.07149437,0.62171817,0.05,0.05,0.05,-0.12,0.12,38
0.15,-1,line,0.4,data/Exp4/line/line/S0.15m-0.4ob15.png,,39,line,0,b,15,0.6924421,0.42302316,0.33689228,0.18974479,-0.44,0.04,0.04,0.78,0.78,39
0.2,1,line,0.4,data/Exp4/line/line/S0.2m0.4ob10.png,,39,line,0,b,10,0.69640654,0.57856274,-0.12214314,0.663624,0.48,-0.08,0.08,-0.6,0.6,40
0.05,-1,line,0.8,data/Exp4/line/area/S0.05m-0.8ob10.png,,39,area,0,b,10,0.6844834,0.35241294,-0.17014164,0.46887207,-0.65,-0.15,0.15,0.48,0.48,41
0.2,1,line,0.8,data/Exp4/line/area/S0.2m0.8oe0.png,,39,area,0,e,0,0,0,0.8,0.1,0.72,0.08,0.08,0.08,0.08,42
0.05,1,line,0.1,data/Exp4/line/line/S0.05m0.1om15.png,,39,line,0,m,15,0.9894016,0.5489402,-0.14998162,0.6973322,-0.05,0.15,0.15,-0.1,0.1,43
0.1,1,line,0.4,data/Exp4/line/scatter/S0.1m0.4oe0.png,,39,scatter,0,e,0,0,0,0.4,0.3,0.53,-0.13,0.13,-0.13,0.13,44
0.15,-1,line,0.1,data/Exp4/line/area/S0.15m-0.1oe5.png,,39,area,0,e,5,0.30405146,0.5195949,0.12710717,0.4809478,0.2,-0.3,0.3,-0.07,0.07,45
0.15,-1,line,0.2,data/Exp4/line/area/S0.15m-0.2ob10.png,,39,area,0,b,10,0.6783506,0.46432984,0.26018944,0.28783017,-0.18,-0.02,0.02,0.44,0.44,46
0.1,-1,line,0.8,data/Exp4/line/scatter/S0.1m-0.8oe10.png,,39,scatter,0,e,10,0.30945826,0.65243316,-0.1598124,0.70188844,-0.55,-0.25,0.25,0.39,0.39,47
0.15,1,line,0.2,data/Exp4/line/line/S0.15m0.2ob5.png,,39,line,0,b,5,0.6920221,0.53840435,-0.080199935,0.5939045,0.07,0.13,0.13,-0.15,0.15,48
0.1,-1,line,0.1,data/Exp4/line/line/S0.1m-0.1om15.png,,39,line,0,m,15,0.9677757,0.45322242,0.16152436,0.29690307,0.04,-0.14,0.14,0.12,0.12,49
0.1,1,line,0.2,data/Exp4/line/scatter/S0.1m0.2ob10.png,,39,scatter,0,b,10,0.6909269,0.53818536,-0.2849128,0.73503923,0.04,0.16,0.16,-0.32,0.32,50
0.05,1,line,0.4,data/Exp4/line/scatter/S0.05m0.4ob0.png,,39,scatter,0,b,0,0,0,0.4,0.3,0.44,-0.04,0.04,-0.04,0.04,51
0.1,1,line,0.8,data/Exp4/line/scatter/S0.1m0.8om0.png,,39,scatter,0,m,0,0,0,0.8,0.1,0.91,-0.11,0.11,-0.11,0.11,52
0.05,-1,line,0.4,data/Exp4/line/scatter/S0.05m-0.4om10.png,,39,scatter,0,m,10,0.98977125,0.3040915,-0.2195779,0.5214234,-0.31,-0.09,0.09,0.09,0.09,53
0.15,-1,line,0.4,data/Exp4/line/scatter/S0.15m-0.4om10.png,,39,scatter,0,m,10,0.9768479,0.30926085,-0.21848686,0.5226893,-0.38,-0.02,0.02,0.16,0.16,54
0.1,-1,line,0.8,data/Exp4/line/line/S0.1m-0.8ob5.png,,39,line,0,b,5,0.67012876,0.36389697,-0.44119835,0.6595567,-0.51,-0.29,0.29,0.07,0.07,55
0.15,1,line,0.2,data/Exp4/line/area/S0.15m0.2oe5.png,,39,area,0,e,5,0.33926836,0.4678536,-0.040542778,0.48160848,0.25,-0.05,0.05,-0.29,0.29,56
0.05,-1,line,0.1,data/Exp4/line/area/S0.05m-0.1om10.png,,39,area,0,m,10,0.98541826,0.45145822,0.0734257,0.37910318,0.08,-0.18,0.18,-0.01,0.01,57
0.1,-1,line,0.1,data/Exp4/line/area/S0.1m-0.1om0.png,,39,area,0,m,0,0,0,-0.1,0.45,-0.12,0.02,0.02,0.02,0.02,58
0.15,-1,line,0.8,data/Exp4/line/line/S0.15m-0.8ob10.png,,39,line,0,b,10,0.6807561,0.35539514,-0.17248137,0.47281286,-0.59,-0.21,0.21,0.42,0.42,59
0.2,1,line,0.8,data/Exp4/line/scatter/S0.2m0.8ob10.png,,39,scatter,0,b,10,0.6948993,0.65591955,0.19170113,0.5227065,0.53,0.27,0.27,-0.34,0.34,60
0.2,1,line,0.1,data/Exp4/line/line/S0.2m0.1om10.png,,39,line,0,m,10,1.0416816,0.55416816,-0.046719372,0.6028349,0.07,0.03,0.03,-0.12,0.12,61
0.15,-1,line,0.4,data/Exp4/line/line/S0.15m-0.4om5.png,,39,line,0,m,5,0.9418177,0.32327294,-0.30749357,0.6128758,-0.32,-0.08,0.08,0.01,0.01,62
0.05,-1,line,0.2,data/Exp4/line/scatter/S0.05m-0.2om15.png,,39,scatter,0,m,15,0.9773085,0.40453827,0.0779528,0.32835433,-0.14,-0.06,0.06,0.22,0.22,63
0.05,-1,line,0.2,data/Exp4/line/scatter/S0.05m-0.2oe5.png,,39,scatter,0,e,5,0.31784537,0.5364309,0.05650135,0.5184722,-0.2,0,0,0.26,0.26,64
0.15,-1,line,0.1,data/Exp4/line/scatter/S0.15m-0.1om15.png,,39,scatter,0,m,15,0.9642152,0.4535785,0.16551328,0.2939881,-0.06,-0.04,0.04,0.23,0.23,65
0.2,1,line,0.8,data/Exp4/line/area/S0.2m0.8om15.png,,39,area,0,m,15,0.99951524,0.8996125,0.500529,0.39932612,0.64,0.16,0.16,-0.14,0.14,66
0.15,1,line,0.1,data/Exp4/line/line/S0.15m0.1ob15.png,,39,line,0,b,15,0.7044242,0.5204424,-0.55706996,0.912856,-0.21,0.31,0.31,-0.35,0.35,67
0.05,1,line,0.4,data/Exp4/line/line/S0.05m0.4oe0.png,,39,line,0,e,0,0,0,0.4,0.3,0.44,-0.04,0.04,-0.04,0.04,68
0.1,1,line,0.2,data/Exp4/line/line/S0.1m0.2om5.png,,39,line,0,m,5,1.0084176,0.6016835,0.11087266,0.48987752,0.07,0.13,0.13,0.04,0.04,69
0.1,-1,line,0.1,data/Exp4/line/scatter/S0.1m-0.1oe0.png,,39,scatter,0,e,0,0,0,-0.1,0.45,-0.2,0.1,0.1,0.1,0.1,70
0.15,-1,line,0.1,data/Exp4/line/line/S0.15m-0.1ob5.png,,39,line,0,b,5,0.66140586,0.48385945,0.1485721,0.385593,-0.08,-0.02,0.02,0.23,0.23,71
0.1,1,line,0.8,data/Exp4/line/area/S0.1m0.8ob15.png,,39,area,0,b,15,0.69987744,0.65990216,-0.06474504,0.70521575,0.44,0.36,0.36,-0.5,0.5,72
0.15,-1,line,0.4,data/Exp4/line/area/S0.15m-0.4om5.png,,39,area,0,m,5,0.9418177,0.32327294,-0.30749357,0.6128758,-0.27,-0.13,0.13,-0.04,0.04,73
0.2,1,line,0.2,data/Exp4/line/line/S0.2m0.2om5.png,,39,line,0,m,5,1.0449885,0.6089978,0.11916633,0.4844704,0.11,0.09,0.09,0.01,0.01,74
0.1,1,line,0.4,data/Exp4/line/area/S0.1m0.4om15.png,,39,area,0,m,15,0.98504263,0.6940173,0.12565441,0.5702423,0.35,0.05,0.05,-0.22,0.22,76
0.2,-1,line,0.1,data/Exp4/line/area/S0.2m-0.1om0.png,,39,area,0,m,0,0,0,-0.1,0.45,-0.25,0.15,0.15,0.15,0.15,77
0.15,-1,line,0.4,data/Exp4/line/scatter/S0.15m-0.4ob0.png,,39,scatter,0,b,0,0,0,-0.4,0.3,-0.39,-0.01,0.01,-0.01,0.01,75
0.2,-1,line,0.4,data/Exp4/line/scatter/S0.2m-0.4oe10.png,,39,scatter,0,e,10,0.3026488,0.57894045,0.18654193,0.52248377,-0.21,-0.19,0.19,0.4,0.4,78
0.05,-1,line,0.4,data/Exp4/line/line/S0.05m-0.4oe10.png,,39,line,0,e,10,0.31027812,0.5758888,0.13826884,0.532987,-0.31,-0.09,0.09,0.45,0.45,79
0.15,-1,line,0.4,data/Exp4/line/area/S0.15m-0.4om15.png,,39,area,0,m,15,0.9630999,0.31476003,-0.10706843,0.4178776,-0.27,-0.13,0.13,0.16,0.16,80
0.15,1,line,0.2,data/Exp4/line/scatter/S0.15m0.2oe15.png,,39,scatter,0,e,15,0.3091692,0.46183392,-0.4963745,0.6152976,0.07,0.13,0.13,-0.57,0.57,83
